Designator,Mid X,Mid Y,Layer,Rotation
R2,50,23.9,Top,90
R3,18.8,13.8,Top,90
R4,17.9,13.8,Top,90
R5,51.33,81.87,Top,90
R6,-3.13,50.75,Top,180
R7,16.2,7.9,Top,90
R8,29.1,85.9,Top,270
R9,12,42.2,Top,270
R10,13.05,42.2,Top,270
R11,0.55,29.35,Top,270
R12,16,29.35,Top,270
R13,9.1,37.1,Top,180
R14,14.75,29.35,Top,270
R15,-0.8,55.25,Top,90
R16,0.7,55.25,Top,90
R17,3.7,55.25,Top,90
R18,2.2,55.25,Top,90
R19,5.2,55.25,Top,90
R20,13.55,29.35,Top,270
R21,55.5,76.5,Top,180
R22,12.3,29.35,Top,270
R23,11.1,0.4,Top,180
R24,-0.79,25.71,Top,180
R25,11.1,29.35,Top,270
R26,50.2,71.2,Top,90
R27,17.2,29.35,Top,90
R28,9.85,29.35,Top,270
R29,2.1,29.35,Top,270
R30,16.9,13.8,Top,90
R31,43.88,80.93,Top,0
R32,48,78.27,Top,180
R33,48,77.27,Top,180
R34,15.6,5.9,Top,90
R35,55.5,78.2,Top,0
R36,3.6,29.35,Top,270
R37,8.6,29.35,Top,270
R38,32.9,62.6,Top,0
R39,32.2,9.2,Top,90
R40,18.2,29.35,Top,90
R41,20.31,12.52,Top,0
R42,23.02,25.4,Top,0
R43,55.2,32.5,Top,0
R44,30.2,85.9,Top,270
R45,20.33,11.57,Top,0
R46,23.02,24.12,Top,0
R47,32.9,61.6,Top,0
R48,54.6,63.9,Top,180
R49,-7.8,18.14,Top,90
R50,52.6,15.3,Top,0
R51,52.6,14.3,Top,0
R52,54.6,65.1,Top,180
R53,42.6,73.5,Top,0
R54,42.5,40.4,Top,0
R55,5.5,66.4,Top,270
R56,43.6,83.4,Top,0
R57,43.6,82.4,Top,180
R58,44.3,74.7,Top,270
R60,16.08,47.44,Top,0
R61,16.12,50.42,Top,0
R62,-3.61,25.78,Top,270
R63,-0.79,26.6,Top,0
R64,1.24,26.6,Top,180
R65,1.24,25.71,Top,0
R66,10.08,10.51,Top,270
R67,13.25,26.16,Top,90
R68,14.26,26.16,Top,90
R71,15.47,26.16,Top,90
R72,16.49,26.16,Top,90
R75,-8.8,18.14,Top,90
R77,-5.6,25.4,Top,180
R78,41.8,25.2,Top,270
R79,-8.5,39.8,Top,90
R80,-7.5,39.8,Top,90
R81,-6.5,39.8,Top,90
R82,-5.5,39.8,Top,90
R83,0.8,43.2,Top,270
R84,40.9,25.2,Top,90
R85,64.6,35,Top,270
R86,64.6,37.2,Top,90
R90,-6.4,15.8,Top,45
R92,34.5,9,Top,0
SARADC_VIN4,19.4,73.9,Top,0
SBU1,-6.9,5.2,Top,0
SBU1_DC,-4.7,49.3,Top,0
SBU2,-8.9,2.4,Top,0
SBU2_DC,-5.7,49.3,Top,0
SSMX_FLIP_ACTIVE,-3.1,52.02,Top,0
TACH,63.75,18.6,Top,0
U2,1.95,6.94,Top,270
U3,-5.86,6.94,Top,270
U4,13.7,10.75,Top,180
U5,23.29,15.3,Top,0
U6,-1.7,61.45,Top,0
U7,37.65,10.67,Top,270
U8,18.53,64.53,Top,225
U9,15.48,70.42,Top,225
U10,24.26,61.34,Top,135
U11,29.7,9.2,Top,90
U12,50.05,20.85,Top,0
